compressor,k_values,k0,k1,k2,num_batches,num_samples,correct_count,avg_accuracy,avg_latency,avg_ce_loss,tp0_original_bytes,tp1_original_bytes,tp2_original_bytes,tp0_compressed_bytes,tp1_compressed_bytes,tp2_compressed_bytes,avg_compression_ratio,compressor_policy,llm_policy,outlier_values,outlier0,outlier1,outlier2,avg_payload_ratio,tp0_payload_ratio,tp1_payload_ratio,tp2_payload_ratio
llmint8,"0.1250,0.1563,0.2188",0.1250,0.1563,0.2188,100,10000,9325,0.9325,0.010970509028993547,0.36286165900528433,655360000.0,327680000.0,163840000.0,81926400.0,51206400.0,35846400.0,6.7871075256599624,llmint8_fp16_int4,fp16_int4,"0.0000,0.0000,0.0000",0.0000,0.0000,0.0000,0.14733816964285715,0.125,0.1563,0.2188
llmint8,"0.5313,0.4063,0.2188",0.5313,0.4063,0.2188,100,10000,9324,0.9324,0.009286068012006581,0.35937626749277113,655360000.0,327680000.0,163840000.0,348166400.0,133126400.0,35846400.0,2.217739440367313,llmint8_fp16_int4,fp16_int4,"1.0000,0.5000,0.0000",1.0000,0.5000,0.0000,0.4509095982142857,0.5313,0.4063,0.2188
llmint8,"0.1250,0.1563,0.5313",0.1250,0.1563,0.5313,100,10000,9323,0.9323,0.0106519200024195,0.36083609752357004,655360000.0,327680000.0,163840000.0,81926400.0,51206400.0,87046400.0,5.208848065575676,llmint8_fp16_int4,fp16_int4,"0.0000,0.0000,1.0000",0.0000,0.0000,1.0000,0.1919810267857143,0.125,0.1563,0.5313
llmint8,"0.3750,0.5313,0.4688",0.3750,0.5313,0.4688,100,10000,9322,0.9322,0.00954362504184246,0.35813100062310693,655360000.0,327680000.0,163840000.0,245766376.0,174086400.0,76806400.0,2.3091891893284986,llmint8_fp16_int4,fp16_int4,"0.5000,1.0000,0.5000",0.5000,1.0000,0.5000,0.43305243443080355,0.375,0.5313,0.4688
llmint8,"0.3750,0.5313,0.5313",0.3750,0.5313,0.5313,100,10000,9322,0.9322,0.00973741700174287,0.3586491622775793,655360000.0,327680000.0,163840000.0,245766376.0,174086400.0,87046400.0,2.2625406674561255,llmint8_fp16_int4,fp16_int4,"0.5000,1.0000,1.0000",0.5000,1.0000,1.0000,0.441981005859375,0.375,0.5313,0.5313
llmint8,"0.1250,0.5313,0.4688",0.1250,0.5313,0.4688,100,10000,9321,0.9321,0.00965682800160721,0.36200364246964456,655360000.0,327680000.0,163840000.0,81926400.0,174086400.0,76806398.0,3.4459550617629935,llmint8_fp16_int4,fp16_int4,"0.0000,1.0000,0.5000",0.0000,1.0000,0.5000,0.2901953107561384,0.125,0.5313,0.4688
llmint8,"0.1250,0.5313,0.2188",0.1250,0.5313,0.2188,100,10000,9320,0.932,0.009719078005291521,0.3651317471265793,655360000.0,327680000.0,163840000.0,81926400.0,174086400.0,35846400.0,3.929566037322106,llmint8_fp16_int4,fp16_int4,"0.0000,1.0000,0.0000",0.0000,1.0000,0.0000,0.25448102678571427,0.125,0.5313,0.2188
llmint8,"0.3750,0.4063,0.4688",0.3750,0.4063,0.4688,100,10000,9318,0.9318,0.009689918996300548,0.3577885640412569,655360000.0,327680000.0,163840000.0,245766376.0,133126398.0,76806400.0,2.5167480334296153,llmint8_fp16_int4,fp16_int4,"0.5000,0.5000,0.5000",0.5000,0.5000,0.5000,0.39733814697265624,0.375,0.4063,0.4688
llmint8,"0.1250,0.4063,0.4688",0.1250,0.4063,0.4688,100,10000,9318,0.9318,0.009878395977430045,0.3646509839594364,655360000.0,327680000.0,163840000.0,81926400.0,133126398.0,76806400.0,3.9295660642499266,llmint8_fp16_int4,fp16_int4,"0.0000,0.5000,0.5000",0.0000,0.5000,0.5000,0.25448102504185266,0.125,0.4063,0.4688
llmint8,"0.3750,0.1563,0.4688",0.3750,0.1563,0.4688,100,10000,9316,0.9316,0.009392091003246606,0.363974037989974,655360000.0,327680000.0,163840000.0,245766376.0,51206400.0,76806400.0,3.068335727723901,llmint8_fp16_int4,fp16_int4,"0.5000,0.0000,0.5000",0.5000,0.0000,0.5000,0.32590957728794645,0.375,0.1563,0.4688
llmint8,"0.3750,0.5313,0.2188",0.3750,0.5313,0.2188,100,10000,9315,0.9315,0.009596742002759128,0.3627585265040398,655360000.0,327680000.0,163840000.0,245766376.0,174086400.0,35846400.0,2.51674802238396,llmint8_fp16_int4,fp16_int4,"0.5000,1.0000,0.0000",0.5000,1.0000,0.0000,0.39733814871651785,0.375,0.5313,0.2188
llmint8,"0.1250,0.5313,0.5313",0.1250,0.5313,0.5313,100,10000,9312,0.9312,0.00967851400608197,0.3622147659212351,655360000.0,327680000.0,163840000.0,81926400.0,174086400.0,87046400.0,3.343096468481242,llmint8_fp16_int4,fp16_int4,"0.0000,1.0000,1.0000",0.0000,1.0000,1.0000,0.2991238839285714,0.125,0.5313,0.5313
llmint8,"0.1250,0.1563,0.4688",0.1250,0.1563,0.4688,100,10000,9312,0.9312,0.00998566702241078,0.36832804188132284,655360000.0,327680000.0,163840000.0,81926400.0,51206400.0,76806400.0,5.462914977288663,llmint8_fp16_int4,fp16_int4,"0.0000,0.0000,0.5000",0.0000,0.0000,0.5000,0.18305245535714285,0.125,0.1563,0.4688
llmint8,"0.1250,0.4063,0.2188",0.1250,0.4063,0.2188,100,10000,9311,0.9311,0.010204042992554604,0.3615623125061393,655360000.0,327680000.0,163840000.0,81926400.0,133126396.0,35846400.0,4.57107881684882,llmint8_fp16_int4,fp16_int4,"0.0000,0.5000,0.0000",0.0000,0.5000,0.0000,0.21876673758370535,0.125,0.4063,0.2188
llmint8,"0.1250,0.4063,0.5313",0.1250,0.4063,0.5313,100,10000,9310,0.931,0.009519627986010163,0.3627075768262148,655360000.0,327680000.0,163840000.0,81926400.0,133126398.0,87046400.0,3.796368899992909,llmint8_fp16_int4,fp16_int4,"0.0000,0.5000,1.0000",0.0000,0.5000,1.0000,0.2634095964704241,0.125,0.4063,0.5313
llmint8,"0.3750,0.1563,0.5313",0.3750,0.1563,0.5313,100,10000,9310,0.931,0.009924836009740829,0.36319861724972724,655360000.0,327680000.0,163840000.0,245766376.0,51206400.0,87046400.0,2.98651752744764,llmint8_fp16_int4,fp16_int4,"0.5000,0.0000,1.0000",0.5000,0.0000,1.0000,0.33483814871651785,0.375,0.1563,0.5313
llmint8,"0.5313,0.1563,0.2188",0.5313,0.1563,0.2188,100,10000,9309,0.9309,0.009506636038422585,0.3657840532064438,655360000.0,327680000.0,163840000.0,348166400.0,51206400.0,35846400.0,2.635177859800303,llmint8_fp16_int4,fp16_int4,"1.0000,0.0000,0.0000",1.0000,0.0000,0.0000,0.37948102678571427,0.5313,0.1563,0.2188
topk,"1.0,1.0,1.0",1.0000,1.0000,1.0000,20,10000,9328,0.9328,0.0103276149951852,0.3564586617052555,655360000.0,327680000.0,163840000.0,655360000.0,327680000.0,163840000.0,1.0,topk,,,,,,,,,
topk,"1.0,1.0,0.75",1.0000,1.0000,0.7500,20,10000,9328,0.9328,0.0109645200078375,0.3564586617052555,655360000.0,327680000.0,163840000.0,655360000.0,327680000.0,128001280.0,1.0322568752800976,topk,,,,,,,,,
topk,"1.0,0.9,1.0",1.0000,0.9000,1.0000,20,10000,9328,0.9328,0.0115060100448317,0.3564586617052555,655360000.0,327680000.0,163840000.0,655360000.0,305121280.0,163840000.0,1.0200643004817982,topk,,,,,,,,,
topk,"1.0,1.0,0.9",1.0000,1.0000,0.9000,20,10000,9328,0.9328,0.0119079149793833,0.3564586617052555,655360000.0,327680000.0,163840000.0,655360000.0,327680000.0,152561280.0,1.0099319366741115,topk,,,,,,,,,
topk,"1.0,0.9,0.9",1.0000,0.9000,0.9000,20,10000,9328,0.9328,0.0120773400412872,0.3564586617052555,655360000.0,327680000.0,163840000.0,655360000.0,305121280.0,152561280.0,1.0304008500807014,topk,,,,,,,,,
topk,"1.0,0.9,0.75",1.0000,0.9000,0.7500,20,10000,9328,0.9328,0.0120837800553999,0.3564586617052555,655360000.0,327680000.0,163840000.0,655360000.0,305121280.0,128001280.0,1.053650322151234,topk,,,,,,,,,
topk,"0.9,0.75,0.5",0.9000,0.7500,0.5000,20,10000,9327,0.9327,0.0105839149793609,0.3557188838720321,655360000.0,327680000.0,163840000.0,610281280.0,256001280.0,87041280.0,1.2030329588736604,topk,,,,,,,,,
topk,"1.0,0.75,0.75",1.0000,0.7500,0.7500,20,10000,9327,0.9327,0.0108625450520776,0.3564504876732826,655360000.0,327680000.0,163840000.0,655360000.0,256001280.0,128001280.0,1.1034455580158669,topk,,,,,,,,,
topk,"0.9,1.0,0.5",0.9000,1.0000,0.5000,20,10000,9327,0.9327,0.0112106850021518,0.3558025114238262,655360000.0,327680000.0,163840000.0,610281280.0,327680000.0,87041280.0,1.1189045225408998,topk,,,,,,,,,
topk,"1.0,0.75,1.0",1.0000,0.7500,1.0000,20,10000,9327,0.9327,0.0119343399768695,0.3564504876732826,655360000.0,327680000.0,163840000.0,655360000.0,256001280.0,163840000.0,1.0666653968269086,topk,,,,,,,,,
topk,"0.9,0.9,0.5",0.9000,0.9000,0.5000,20,10000,9327,0.9327,0.0123065399588085,0.3558025114238262,655360000.0,327680000.0,163840000.0,610281280.0,305121280.0,87041280.0,1.1440840416556404,topk,,,,,,,,,
topk,"1.0,0.75,0.9",1.0000,0.7500,0.9000,20,10000,9327,0.9327,0.0130976700223982,0.3564504876732826,655360000.0,327680000.0,163840000.0,655360000.0,256001280.0,152561280.0,1.077973193838469,topk,,,,,,,,,
topk,"1.0,0.75,0.5",1.0000,0.7500,0.5000,20,10000,9326,0.9326,0.0108633699594065,0.355651880800724,655360000.0,327680000.0,163840000.0,655360000.0,256001280.0,87041280.0,1.1487150032948634,topk,,,,,,,,,
topk,"0.9,0.75,1.0",0.9000,0.7500,1.0000,20,10000,9326,0.9326,0.0112879900261759,0.3565127499401569,655360000.0,327680000.0,163840000.0,610281280.0,256001280.0,163840000.0,1.113343251117615,topk,,,,,,,,,
topk,"0.9,0.75,0.9",0.9000,0.7500,0.9000,20,10000,9326,0.9326,0.0113273899187333,0.3565127499401569,655360000.0,327680000.0,163840000.0,610281280.0,256001280.0,152561280.0,1.125668090607487,topk,,,,,,,,,
topk,"0.9,0.75,0.75",0.9000,0.7500,0.7500,20,10000,9326,0.9326,0.0118211900698952,0.3565127499401569,655360000.0,327680000.0,163840000.0,610281280.0,256001280.0,128001280.0,1.1534734387315395,topk,,,,,,,,,
topk,"0.9,0.9,1.0",0.9000,0.9000,1.0000,20,10000,9325,0.9325,0.0104155249544419,0.3565447524189949,655360000.0,327680000.0,163840000.0,610281280.0,305121280.0,163840000.0,1.062671212669745,topk,,,,,,,,,
topk,"0.9,0.9,0.75",0.9000,0.9000,0.7500,20,10000,9325,0.9325,0.0107803100254386,0.3565447524189949,655360000.0,327680000.0,163840000.0,610281280.0,305121280.0,128001280.0,1.0991717262608502,topk,,,,,,,,,
topk,"0.9,1.0,0.75",0.9000,1.0000,0.7500,20,10000,9325,0.9325,0.0117213049903512,0.3565447524189949,655360000.0,327680000.0,163840000.0,610281280.0,327680000.0,128001280.0,1.0759102083285177,topk,,,,,,,,,
topk,"0.9,1.0,0.9",0.9000,1.0000,0.9000,20,10000,9325,0.9325,0.0119977650116197,0.3565447524189949,655360000.0,327680000.0,163840000.0,610281280.0,327680000.0,152561280.0,1.051679297675419,topk,,,,,,,,,
topk,"0.9,0.9,0.9",0.9000,0.9000,0.9000,20,10000,9325,0.9325,0.0126053600339218,0.3565447524189949,655360000.0,327680000.0,163840000.0,610281280.0,305121280.0,152561280.0,1.0738940374610435,topk,,,,,,,,,
topk,"0.9,1.0,1.0",0.9000,1.0000,1.0000,20,10000,9325,0.9325,0.013512225006707,0.3565447524189949,655360000.0,327680000.0,163840000.0,610281280.0,327680000.0,163840000.0,1.040913657315773,topk,,,,,,,,,
topk,"1.0,1.0,0.5",1.0000,1.0000,0.5000,20,10000,9324,0.9324,0.0108614600263535,0.3556217916309833,655360000.0,327680000.0,163840000.0,655360000.0,327680000.0,87041280.0,1.0717690529078314,topk,,,,,,,,,
topk,"1.0,0.9,0.5",1.0000,0.9000,0.5000,20,10000,9324,0.9324,0.0109489848837256,0.3556217916309833,655360000.0,327680000.0,163840000.0,655360000.0,305121280.0,87041280.0,1.0948499285781492,topk,,,,,,,,,
topk,"1.0,0.5,0.5",1.0000,0.5000,0.5000,20,10000,9319,0.9319,0.012560359982308,0.3592572800815105,655360000.0,327680000.0,163840000.0,655360000.0,174081280.0,87041280.0,1.2513931525330937,topk,,,,,,,,,
topk,"1.0,0.5,0.9",1.0000,0.5000,0.9000,20,10000,9316,0.9316,0.0107576449867337,0.3596734158694744,655360000.0,327680000.0,163840000.0,655360000.0,174081280.0,152561280.0,1.167899195700671,topk,,,,,,,,,
topk,"1.0,0.5,0.75",1.0000,0.5000,0.7500,20,10000,9316,0.9316,0.0110118649783544,0.3596734158694744,655360000.0,327680000.0,163840000.0,655360000.0,174081280.0,128001280.0,1.1978577597386104,topk,,,,,,,,,
topk,"1.0,0.5,1.0",1.0000,0.5000,1.0000,20,10000,9316,0.9316,0.0117961499490775,0.3596734158694744,655360000.0,327680000.0,163840000.0,655360000.0,174081280.0,163840000.0,1.154637687322568,topk,,,,,,,,,
topk,"0.9,0.5,0.5",0.9000,0.5000,0.5000,20,10000,9316,0.9316,0.0119803099893033,0.3600742876529693,655360000.0,327680000.0,163840000.0,610281280.0,174081280.0,87041280.0,1.316129155455638,topk,,,,,,,,,
topk,"0.9,0.5,0.9",0.9000,0.5000,0.9000,20,10000,9315,0.9315,0.0104436250403523,0.3605225391685963,655360000.0,327680000.0,163840000.0,610281280.0,174081280.0,152561280.0,1.224090957062209,topk,,,,,,,,,
topk,"0.9,0.5,1.0",0.9000,0.5000,1.0000,20,10000,9315,0.9315,0.0113827450200915,0.3605225391685963,655360000.0,327680000.0,163840000.0,610281280.0,174081280.0,163840000.0,1.2095305880633775,topk,,,,,,,,,
topk,"0.9,0.5,0.75",0.9000,0.5000,0.7500,20,10000,9315,0.9315,0.0116261049755848,0.3605225391685963,655360000.0,327680000.0,163840000.0,610281280.0,174081280.0,128001280.0,1.2570423659052512,topk,,,,,,,,,
topk,"1.0,1.0,0.25",1.0000,1.0000,0.2500,20,10000,9312,0.9312,0.0110592849901877,0.3536740124225616,655360000.0,327680000.0,163840000.0,655360000.0,327680000.0,46081280.0,1.1144264745939372,topk,,,,,,,,,
topk,"1.0,0.9,0.25",1.0000,0.9000,0.2500,20,10000,9312,0.9312,0.011210555024445,0.3536740124225616,655360000.0,327680000.0,163840000.0,655360000.0,305121280.0,46081280.0,1.1394026020598262,topk,,,,,,,,,
topk,"0.9,0.9,0.25",0.9000,0.9000,0.2500,20,10000,9311,0.9311,0.011134499986656,0.3536631435155868,655360000.0,327680000.0,163840000.0,610281280.0,305121280.0,46081280.0,1.1928229599781937,topk,,,,,,,,,
topk,"0.9,1.0,0.25",0.9000,1.0000,0.2500,20,10000,9311,0.9311,0.0112194900168105,0.3536631435155868,655360000.0,327680000.0,163840000.0,610281280.0,327680000.0,46081280.0,1.165478045990206,topk,,,,,,,,,
topk,"1.0,0.75,0.25",1.0000,0.7500,0.2500,20,10000,9310,0.931,0.0097443250473588,0.3535444065928459,655360000.0,327680000.0,163840000.0,655360000.0,256001280.0,46081280.0,1.1978577597386104,topk,,,,,,,,,
topk,"0.9,0.75,0.25",0.9000,0.7500,0.2500,20,10000,9310,0.931,0.0104511399869807,0.353193224966526,655360000.0,327680000.0,163840000.0,610281280.0,256001280.0,46081280.0,1.2570423659052512,topk,,,,,,,,,
topk,"0.9,0.5,0.25",0.9000,0.5000,0.2500,20,10000,9295,0.9295,0.0116971749579533,0.3570530563592911,655360000.0,327680000.0,163840000.0,610281280.0,174081280.0,46081280.0,1.3810446230777027,topk,,,,,,,,,
topk,"1.0,0.5,0.25",1.0000,0.5000,0.2500,20,10000,9293,0.9293,0.0113903399207629,0.3569306269288063,655360000.0,327680000.0,163840000.0,655360000.0,174081280.0,46081280.0,1.309937690240672,topk,,,,,,,,,
topk,"0.75,0.9,0.5",0.7500,0.9000,0.5000,20,10000,9288,0.9288,0.0106135699432343,0.3685003362596035,655360000.0,327680000.0,163840000.0,512001280.0,305121280.0,87041280.0,1.2684426751682527,topk,,,,,,,,,
topk,"0.75,1.0,0.5",0.7500,1.0000,0.5000,20,10000,9288,0.9288,0.0113758900435641,0.3685003362596035,655360000.0,327680000.0,163840000.0,512001280.0,327680000.0,87041280.0,1.2375656420838617,topk,,,,,,,,,
topk,"0.75,0.75,0.5",0.7500,0.7500,0.5000,20,10000,9287,0.9287,0.0120256899739615,0.368597661703825,655360000.0,327680000.0,163840000.0,512001280.0,256001280.0,87041280.0,1.3413113414161313,topk,,,,,,,,,
topk,"0.75,0.75,0.9",0.7500,0.7500,0.9000,20,10000,9284,0.9284,0.0104961300152353,0.3694302402436733,655360000.0,327680000.0,163840000.0,512001280.0,256001280.0,152561280.0,1.2458451550736558,topk,,,,,,,,,
topk,"0.75,0.75,0.75",0.7500,0.7500,0.7500,20,10000,9284,0.9284,0.0105978750623762,0.3694302402436733,655360000.0,327680000.0,163840000.0,512001280.0,256001280.0,128001280.0,1.2799945143092244,topk,,,,,,,,,
topk,"0.75,0.75,1.0",0.7500,0.7500,1.0000,20,10000,9284,0.9284,0.0107230699039064,0.3694302402436733,655360000.0,327680000.0,163840000.0,512001280.0,256001280.0,163840000.0,1.2307658495443694,topk,,,,,,,,,
topk,"0.75,1.0,0.9",0.7500,1.0000,0.9000,20,10000,9283,0.9283,0.010503345017787,0.3693787895143032,655360000.0,327680000.0,163840000.0,512001280.0,327680000.0,152561280.0,1.155846409168339,topk,,,,,,,,,
topk,"0.75,1.0,0.75",0.7500,1.0000,0.7500,20,10000,9283,0.9283,0.0108234150451608,0.3693787895143032,655360000.0,327680000.0,163840000.0,512001280.0,327680000.0,128001280.0,1.185182049782937,topk,,,,,,,,,
topk,"0.75,1.0,1.0",0.7500,1.0000,1.0000,20,10000,9283,0.9283,0.0113115000538527,0.3693787895143032,655360000.0,327680000.0,163840000.0,512001280.0,327680000.0,163840000.0,1.142855685133055,topk,,,,,,,,,
topk,"0.75,0.9,0.75",0.7500,0.9000,0.7500,20,10000,9283,0.9283,0.0116334099671803,0.3693787895143032,655360000.0,327680000.0,163840000.0,512001280.0,305121280.0,128001280.0,1.2134706071957724,topk,,,,,,,,,
topk,"0.75,0.9,0.9",0.7500,0.9000,0.9000,20,10000,9283,0.9283,0.0117207399336621,0.3693787895143032,655360000.0,327680000.0,163840000.0,512001280.0,305121280.0,152561280.0,1.182736014245633,topk,,,,,,,,,
topk,"0.75,0.9,1.0",0.7500,0.9000,1.0000,20,10000,9283,0.9283,0.0118243000470101,0.3693787895143032,655360000.0,327680000.0,163840000.0,512001280.0,305121280.0,163840000.0,1.169137382776362,topk,,,,,,,,,
topk,"0.75,0.5,0.75",0.7500,0.5000,0.7500,20,10000,9275,0.9275,0.010602499928791,0.3772830680012703,655360000.0,327680000.0,163840000.0,512001280.0,174081280.0,128001280.0,1.4087983861711344,topk,,,,,,,,,
topk,"0.75,0.5,1.0",0.7500,0.5000,1.0000,20,10000,9275,0.9275,0.0106239149346947,0.3772830680012703,655360000.0,327680000.0,163840000.0,512001280.0,174081280.0,163840000.0,1.349393525923115,topk,,,,,,,,,
topk,"0.75,0.5,0.9",0.7500,0.5000,0.9000,20,10000,9275,0.9275,0.0109129050048068,0.3772830680012703,655360000.0,327680000.0,163840000.0,512001280.0,174081280.0,152561280.0,1.3675411960338253,topk,,,,,,,,,
topk,"0.75,0.5,0.5",0.7500,0.5000,0.5000,20,10000,9274,0.9274,0.0109603999415412,0.3769658654928207,655360000.0,327680000.0,163840000.0,512001280.0,174081280.0,87041280.0,1.4834363405479774,topk,,,,,,,,,
topk,"0.75,0.75,0.25",0.7500,0.7500,0.2500,20,10000,9272,0.9272,0.0103915499639697,0.3643121883273125,655360000.0,327680000.0,163840000.0,512001280.0,256001280.0,46081280.0,1.4087983861711344,topk,,,,,,,,,
topk,"0.75,0.9,0.25",0.7500,0.9000,0.2500,20,10000,9272,0.9272,0.0111440699198283,0.363986487686634,655360000.0,327680000.0,163840000.0,512001280.0,305121280.0,46081280.0,1.3286317169302675,topk,,,,,,,,,
topk,"0.75,1.0,0.25",0.7500,1.0000,0.2500,20,10000,9272,0.9272,0.0121520149521529,0.363986487686634,655360000.0,327680000.0,163840000.0,512001280.0,327680000.0,46081280.0,1.294793945682238,topk,,,,,,,,,
topk,"0.75,0.5,0.25",0.7500,0.5000,0.2500,20,10000,9259,0.9259,0.0111647050012834,0.37401088103652,655360000.0,327680000.0,163840000.0,512001280.0,174081280.0,46081280.0,1.5664253509159918,topk,,,,,,,,,
topk,"0.9,1.0,0.125",0.9000,1.0000,0.1250,20,10000,9206,0.9206,0.011069744976703,0.3867199897766113,655360000.0,327680000.0,163840000.0,610281280.0,327680000.0,25601280.0,1.1902496502147195,topk,,,,,,,,,
topk,"0.9,0.9,0.125",0.9000,0.9000,0.1250,20,10000,9206,0.9206,0.0110833249404095,0.3867199897766113,655360000.0,327680000.0,163840000.0,610281280.0,305121280.0,25601280.0,1.2187835492786088,topk,,,,,,,,,
topk,"0.9,0.75,0.125",0.9000,0.7500,0.1250,20,10000,9205,0.9205,0.0116706850123591,0.3867317125201225,655360000.0,327680000.0,163840000.0,610281280.0,256001280.0,25601280.0,1.2859073665915957,topk,,,,,,,,,
topk,"1.0,0.75,0.125",1.0000,0.7500,0.1250,20,10000,9203,0.9203,0.0119832850061357,0.3865929201245308,655360000.0,327680000.0,163840000.0,655360000.0,256001280.0,25601280.0,1.2240403714743948,topk,,,,,,,,,
topk,"1.0,1.0,0.125",1.0000,1.0000,0.1250,20,10000,9201,0.9201,0.0108253949787467,0.3863898664712906,655360000.0,327680000.0,163840000.0,655360000.0,327680000.0,25601280.0,1.137054394601022,topk,,,,,,,,,
topk,"1.0,0.9,0.125",1.0000,0.9000,0.1250,20,10000,9201,0.9201,0.0128159399610012,0.3863898664712906,655360000.0,327680000.0,163840000.0,655360000.0,305121280.0,25601280.0,1.1630669139914611,topk,,,,,,,,,
topk,"0.75,1.0,0.125",0.7500,1.0000,0.1250,20,10000,9182,0.9182,0.0114349700277671,0.3963813260197639,655360000.0,327680000.0,163840000.0,512001280.0,327680000.0,25601280.0,1.325439865562528,topk,,,,,,,,,
topk,"0.75,0.9,0.125",0.7500,0.9000,0.1250,20,10000,9182,0.9182,0.0123198450542986,0.3963813260197639,655360000.0,327680000.0,163840000.0,512001280.0,305121280.0,25601280.0,1.360920322368001,topk,,,,,,,,,
topk,"1.0,0.5,0.125",1.0000,0.5000,0.1250,20,10000,9180,0.918,0.0101083450368605,0.3992713302373886,655360000.0,327680000.0,163840000.0,655360000.0,174081280.0,25601280.0,1.3413133493612297,topk,,,,,,,,,
topk,"0.9,0.5,0.125",0.9000,0.5000,0.1250,20,10000,9176,0.9176,0.0108848849777132,0.398304234445095,655360000.0,327680000.0,163840000.0,610281280.0,174081280.0,25601280.0,1.4159644460177383,topk,,,,,,,,,
topk,"0.75,0.75,0.125",0.7500,0.7500,0.1250,20,10000,9176,0.9176,0.0109007398714311,0.3972125947475433,655360000.0,327680000.0,163840000.0,512001280.0,256001280.0,25601280.0,1.4451542976404952,topk,,,,,,,,,
topk,"0.75,0.5,0.125",0.7500,0.5000,0.1250,20,10000,9150,0.915,0.0113660500384867,0.4135787367820739,655360000.0,327680000.0,163840000.0,512001280.0,174081280.0,25601280.0,1.611502096211711,topk,,,,,,,,,
